City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Haines Junction,CA,60.7522,-137.5108,48.15,49,87,1.14,overcast clouds
318,Yerbogachen,RU,61.2767,108.0108,50.86,56,13,3.06,few clouds
319,Lata,PT,40.1629,-8.3327,65.8,81,44,4.34,scattered clouds
320,Astorga,BR,-23.2325,-51.6656,59.86,96,88,5.32,overcast clouds
321,Caconda,AO,-13.7333,15.0667,64.58,52,94,3.22,overcast clouds
322,Severo-Kurilsk,RU,50.6789,156.125,35.92,98,100,14.9,moderate rain
323,Vagur,FO,61.4732,-6.8119,47.3,93,99,14.03,overcast clouds
324,Aswan,EG,24.0934,32.907,86.7,14,46,21.3,scattered clouds
325,Nizhniy Baskunchak,RU,48.2198,46.8311,54.82,66,10,10.83,clear sky
326,Buraydah,SA,26.326,43.975,77.45,13,0,4.7,clear sky
327,Solikamsk,RU,59.6196,56.7729,43.74,89,27,4.56,scattered clouds
328,Hecun,CN,36.5333,114.1111,59.25,24,0,9.19,clear sky
329,Aviles,ES,43.5547,-5.9248,63.77,80,0,2.3,clear sky
330,Paracuru,BR,-3.41,-39.0306,81.1,89,99,8.68,overcast clouds
331,Hobyo,SO,5.3505,48.5268,80.06,83,40,21.43,scattered clouds
332,Te Anau,NZ,-45.4167,167.7167,48.7,75,12,1.57,few clouds
333,Millau,FR,44.0833,2.9167,64.53,82,59,5.41,broken clouds
334,Atbasar,KZ,51.8,68.3333,58.14,77,100,5.66,moderate rain
335,Rock Sound,BS,24.9,-76.2,80.1,67,12,3.49,light rain
336,Lovington,US,32.944,-103.3485,99.45,4,0,1.01,clear sky
337,Wanning,CN,18.8003,110.3967,76.57,96,100,8.68,overcast clouds
338,Bronnoysund,NO,65.4625,12.1997,41.0,81,75,11.99,broken clouds
339,Komsomolskiy,UZ,40.4272,71.7189,59.72,82,31,0.0,scattered clouds
340,Jutai,BR,-5.1833,-68.9,73.83,96,100,1.9,overcast clouds
341,Bairiki,KI,1.3292,172.9752,86.0,70,40,10.36,scattered clouds
342,Port Elizabeth,ZA,-33.918,25.5701,60.51,87,1,7.14,clear sky
